CODCLI;FANTASIA
20465;SERVE BEM SUPERMERCADOS
20948;CASA VOGADO 
22005;PEG PAG BONSUCESSO
22022;EMPORIO SERTANEJO
22640;EMBALAGENS CRISTAL
40887;SUP. RIBEIRAO 
41541;SUPER BAHIA 
22641;LIDER SUPERMERCADO
24735;PANIF. E SUP. UNIAO 
40853;SUZIANE DOMINGOS DE OLIVEIRA SILVA 
40943;COML. BENEVIDES
22642;W. R. SUPERMERCADO
22686;SUP. KARAJAS
6651;SUP. CACULINHA
6233;SUP. VENEZA
34232;SUP. PAYOL 
40011;SUP. GAROTAO
6163;PEG PAG PAULISTAO   
20949;CASA DE CARNE BOI PRECOCE
22627;SUP. REDENCAO
22667;PABULLUS MERCEARIA
22668;COMERCIAL VITORIA
34544;MERCADINHO SELVA 
22669;DISK MARMITEX
21190;SUP. GOIANO
21729;ARMAZEM GOIAS
21730;MERC. CARVALHO
21762;MERCEARIA BOA SORTE
40218;COMERCIAL TALISM? 
22818;SM SUP.
20827;SUP. AMARAL 
20828;PANIFICADORA COLMEIA 
24567;MERC. ESTRELA 
40385;CASA DE CARNES PLANETA
24568;MERCADO BEM-VINDO 
20950;SUP. MARCOS
20988;SUP. CANNAA
21178;SUP. 3 IRMAOS
34461;SUPERMERCADO PROPICIO 
41724;CONVENIENCIA NOVA ROMA 
17565;MERC. BOA ESPERANCA
1453;BAR E ARMAZEM GUIMARAES
21771;PANIFICADORA BOM JESUS
21788;COMERCIAL OESTE
21865;QUICK
21872;SUPER ECONOMICO
35375;MERCEARIA + OPCAO 
22674;SUP. DULAR
22675;SUP. MENDES 
9270;SUP. COISA  NOSSA
17532;ARTS PAN
18439;SUPER STORE
21097;NAUTICO PRAIA CLUBE
21098;ATACADAO BOM PRECO
22676;SUPER AGROLEITE 
22707;SUP. CASSIANO
22708;SUP. MANO A MANO
22719;KGG SUPERMERCADO
21123;M K LANHOUSE
21216;SUP. MARACANA
21217;MINEIROS LANCHE
9220;SUP. CONFIANCA
21485;SUP. ECONOMIA
8810;PEG PAG INDAIA 
40451;MINIMERCADO DONA MARIA
40919;MERCEARIA COMPRE MAIS 
18349;MENDONCA SUPER CENTER
8640;PONTO FELIZ SUPERMERCADO 
21486;SUP. BABALU
22515;MERC. RIBEIRO
22729;PEG PAG BRASIL
34635;COMERCIAL JM 
34685;SACOLAO ECONOMICO 
17170;MERCADO BORGES
17171;BARCELOS POSTO DE MEDICAMENTOS
18351;DROGARAPIDA
8410;PEG  PAG  REZENDE     
21320;DROGARIA VENEZA
21321;PANIFICADORA DUARTE
34464;SUP. E CASA DO PAO
8130;SUP. BRASIL
21409;COMERCIAL SOUZA
