CODPROD;DESCRICAO;EMBALAGEM
3439;SAPEKA ABS UNICA C/ABAS S.MOD.L24 P16 ;4X1X24UN
3443;PVM-FRUITTELLA MAST.MOR/IOG. NAT.STICK  ;16X10UN
294;TOSCANO-VINAGRE DE MACA;12X750ML
339;TOSCANO-VINAGRE DE ALCOOL C/LIMAO;12X750ML
1513;GEO SABAO BARRA BLUE REF.25;12X5X200GR
3551;BAUDUCCO-BISC.LEVISSIMO AGUA E SAL ;PCT 200GR
3552;BAUDUCCO-BISC.RECH.GULOSOS BRIGADEIRO;56X140GR
3553;BAUDUCCO-BISC.RECH.GULOSOS CHOCOLATE;56X140GR
3554;BAUDUCCO-BISC.RECH.GULOSOS MORANGO;56X140GR
3555;BAUDUCCO-BISC.RECH.GULOSOS CHOC.MARSH.;56X140GR
3349;GINA PALITO EMBALADO SM REF. 190;20X1X50UN
3363;FINI MARSHMALLOW PT TORCAO FLOW PACK ;PT 1X30UN
2341;VITTAMAX-RACAO GATOS PEIXE ;10X1KG
3434;BUNGE-AZEITE ANDORINHA PURO VD PORT.;VD 500ML
1519;GEO SAB.BARRA RALADO GLIC.NEUTRO CTO R47;18X1KG
1520;GEO SAB.BARRA RALADO GLIC.BLUE CTO R48 ;18X1KG
1521;GEO-SABAO PO 100% COCO R.FINAS 250G;12X250GR
1522;GEO-SABAO PO 100% COCO R.INFANTIS 250G;12X250GR
1526;BICICLETA ARO 26 18 M. FEMININA;1
3556;BAUDUCCO-BISC.RECH.GULOSOS DUPLO CHOC.;56X140GR
3557;BAUDUCCO-BISC.RECH.MP GUL.DUPLO CHOC.;20X360GR
3558;BAUDUCCO-BISC.RECH.MP GUL.CHOC.C/MORANGO;20X360GR
3559;BAUDUCCO-BISC.RECH.MP GULOSOS FLOCOS;20X360GR
3419;D.BENTA-MIST.BOLO SALGADO R.7819;12X260GR
1505;GEO-SABAO EM PASTA 500G;18X500GR
2383;COLORAU M.BRASILIA;6X100GR
2384;PIMENTA DO REINO MOIDA M.BRASILIA;6X100GR
42;GINA PALITO REF.101;25X100
3928;DISCO RIGIDO DE 1T 7K NLSAS, 3G, 3.5 POL;UN
3929;ALADDIN-G.T.ROLHA CLASSIC LISA SORT.;1LT
3930;ALADDIN-G.T.ROLHA CLASSIC FLORAL SORT.;1LT
3931;ALADDIN-G.T.ROLHA CLASSIC COFFEE SORT.;1LT
3337;ALADDIN-G.T.ROLHA MADRID SORT. R.3264 ;1LT
3338;ALADDIN-G.T.ROLHA LISA SORT. R.3298 ;1LT
533;V.FERTIL-AMEIXA EM CALDA;LT 400GR
308;B.VISTA-WAFER CHOC.CEREJA (F.NEGRA);30X160GR
3339;ALADDIN-G.T.ROLHA PREMIER SORT.R.3315 ;1LT
3340;ALADDIN-G.T.ROLHA COFFEE LINE R.3327 ;1LT
3341;ALADDIN-G.T.ROLHA METALIZADA R.3369;1LT
2810;SAPEKA FRALDA DESC.C/BAR. SEG 6X1;PCT 
2811;SAPEKA FRALDA PCT ECON C/ BAR. SEG 16X1 ;PCT
3728;ALADDIN-G.T.ROLHA VIENA SORT. R.3189 ;1LT
2812;SAPEKA FRALDA MEGA PCT C/BAR. P 48X1 ;PCT
1408;DAFRUTA NECTAR CAJU ;1LT
1409;DAFRUTA NECTAR LARANJA;1LT
1410;DAFRUTA NECTAR MANGA ;1LT
1498;BRASLIXO SACO P/ LIXO ROLL 15 LT;10X100UN
121;B.VISTA-WAFER CHOCOLATE ;30X160GR
3685;SPEED-UP ENERGETICO RED FRUITS;6X260ML
3686;SPEED-UP ENERGETICO TRAD. ;6X473ML
3342;FINI BALA GELATINA TIRAS AMORAS ;10X1X25GR
3343;FINI BALA GELATINA TIRAS BEIJOS MORANGO;10X1X25GR
3344;FINI BALA GELATINA TIRAS DENTADURAS;10X1X25GR
3345;FINI BALA GELATINA TIRAS URSINHOS;10X1X25GR
228;B.VISTA-WAFER DOCE DE LEITE ;30X160GR
203561;BAUDUCCO-BISC.WAFER CHOCOLATE;PCT 165GR
3684;SPEED-UP ENERGETICO TRAD. ;6X260ML
465;FONTANA-SBTE INF ROSA 1 2 3 BABY;12X80GR
467;V.FERTIL-CEBOLINHAS CRISTAL ;PT 120GR
1436;V.FERTIL-AZEITONA VERDE VD;12X500GR
9144;RUVOLO-TC SOBREMESA BARCELONA 278 ML;1X278ML
1425;VITAMAX-AMOSTRA GRATIS GATO PEIXE;100GR
1420;VITAMAX-AMOSTRA GRATIS FILHOTE;100GR
1421;VITAMAX-AMOSTRA GRATIS CLASSIC;100GR
1423;VITAMAX-AMOSTRA GRATIS PREMIUM;100GR
3405;FLORESTAL PIRULITO FLOPITO PE DE MOLEQUE;1X700GR
302;BRASLIXO SACO P/ LIXO 50 LT ;25X10UN
3406;FLORESTAL CHICLE CLISS HORTELA;100X280GR
3407;FLORESTAL CHICLE CLISS MENTA;100X280GR
3408;FLORESTAL CHICLE CLISS TUTTI-FRUTTI;100X280GR
315;CANJICA BRANCA M.BRASILIA;20X500GR
269;FARINHA DE MILHO M.BRASILIA;20X500GR
288;M.BRASILIA FARINHA DE ROSCA ;12X500GR
9134;DUNORTE-POTE UVA PASSA ESCURA S/SEMENTE;1X150GR
277;FARINHA MAND.TORRADA M. BRASILIA;20X500GR
3560;BAUDUCCO-BISC.RECH.MP GULOSOS BRIGADEIRO;20X360GR
3561;BAUDUCCO-BISC.WAFER CHOCOLATE;42X165GR
3562;BAUDUCCO-BISC.WAFER MORANGO;42X165GR
3563;BAUDUCCO-BISC.WAFER CHOCOLATE C/AVELA;42X165GR
1516;GEO SAB.BARRA RALADO GLIC.NEUTRO CTO R39;24X500GR
1517;GEO SAB.BARRA RALADO GLIC.BLUE CTO REF41;24X500GR
29;FUBA MIMOSO M.BRASILIA;20X1KG
1518;GEO-SABAO BARRA 100% COCO PCT 450G;24X3X150GR
31;POLVILHO DOCE M.BRASILIA;20X1KG
3427;FINI BALA GELATINA PT AMORAS ;1X125UN
28;FONTANA-DESODORIZANT SANIT. FONT MISTO;12X35GR
3428;FINI BALA GELATINA PT MINHOCAS CITRICAS;1X125UN
3429;FINI CHICLE PT SALADA DE FRUTAS ;1X125UN
3435;SAPEKA ABS UNICA C/ABAS SUAVE INTENSO;12X1X8UN
3436;SAPEKA ABS UNICA C/ABAS SUAVE MODERADO ;12X1X8UN
3437;SAPEKA ABS UNICA S/ABAS SUAVE MODERADO ;12X1X8UN
3549;BAUDUCCO-BISC.LEVISSIMO CREAM CRACKER;PCT 200GR
3550;BAUDUCCO-BISC.APERITIVO SALSALITO ;PCT 120GR
3438;SAPEKA ABS UNICA C/ABAS S.PROM.MOD+INT ;6X1X16UN
448;V.FERTIL-AMEIXA EM CALDA ;LT 200GR
2387;MOLHO CEBOLA C/PIM. ERV.FINAS M.BRASILIA;12X150ML
3653;TRICICLO VERMELHO;1UN
3708;GEO DESINFETANTE EUCALIPTO REF.504;12X500ML
1514;GEO SABAO BARRA GLICERINADO LIMAO REF.26;12X5X200GR
1515;GEO SABAO BARRA 100% COCO REF.27;12X5X200GR
304;FONTANA-SABONETE IARA 2 CORES;24X4X90GR
2285;ESTABILIZADOR ELETRONICO DE TENSAO ;1X1
3654;TRICICLO AZUL;1UN
2471;NEUG.-BOMBOM AMOR CARIOCA ;PCT 500GR
2472;NEUG.-BOMBOM NOITE DE GALA ;185GR
2473;NEUG.-BOMBOM NOITE DE GALA ;PCT 925GR
3351;ACENDEDOR P/FOGAO LUME SORTIDO;CX 1X24UN
1509;GEO-SAB.BARRA.GLIC.RALADO AZUL SACHE 1KG;12X1KG
3352;ACENDEDOR P/FOGAO LUME SORTIDO;PCT 6UN
1512;GEO SABAO BARRA GLIC. NEUTRO REF.24;12X5X200GR
3353;NAXOS-MOSTRUARIO ACENDEDOR P/FOGAO LUME ;PCT 
3354;NAXOS-EXPOSITOR ILHA P/ACENDEDOR LUME;PC
3370;TV COLOR SHARP 29L FG1BZ;1UN
3415;D.BENTA SITIO-MIST.BOLO CHUVA BANANA ;12X260GR
3416;D.BENTA SITIO-MIST.BOLO CHUVA LARANJA;12X260GR
3417;D.BENTA SITIO-MIST.BOLO CHUVA TRADICIONA;12X260GR
3418;D.BENTA-FERMENTO INST. FERMIX R.151;500GR
1499;BRASLIXO SACO P/ LIXO ROLL 30 LT;10X1X50UN
1500;BRASLIXO SACO P/ LIXO ROLL 50 LT;10X1X50UN
1501;BRASLIXO SACO P/ LIXO ROLL 100 LT;10X1X25UN
3400;V.FERTIL-AZ.BALDE PRETA PREMIUM AZAPA ;2,0KG
3401;V.FERTIL-AZ.VDE M.REINA LA REINA;12X500GR
4153;BUNGE-AZEITE ANDORINHA E.V. VD PORT. ;12X250ML
524;V.FERTIL-AZEITONA VERDE S/CAROCO ;VD 280GR
3670;CILINDRO MESTRE;1PC
354;V.FERTIL-AZEITONA VERDE VD;12X360GR
3325;BUNGE-DISPLAY CHAO MAIONESE PRIMOR;1UN
3402;PVM-FRUITTELLA MAST. MORANGO NAT.STICK;16X10UN
3403;PVM-FRUITTELLA SM MAST. MORANGO NATURAL;BAG C/3UN
3659;LEITOR LASER OPR 3201 TECLADO;1UN
3707;GEO LIMPA VIDROS REF.521;12X500ML
683;B.VISTA-BISC.TUCS TRAD. DIN CRACKER ;30X100GR
3664;ROUPEIRO ACO C/20 PORTAS COR CINZA;1UN
3350;SUCO UVA ROSE INTEGRAL ALIANCA ;2LT
3379;BUNGE-MARG.DELICIA MILA C/SAL R.114537;12X500GR
3380;BUNGE-MARG.PRIMOR C/SAL R.114634 ;12X500GR
634;TOSCANO-VINAGRE DE ALCOOL CLARO FR;12X750ML
2956;SUCO UVA BRANCO INTEGRAL ALIANCA ;6X1,5LT
2958;PVM-MENTOS P.FRESH BLAST RED EMB.INDIVID;120GR
686;B.VISTA-BISC.TUCS SALAMINHO DIN CRACKER ;30X100GR
2399;DAFRUTA TP NECTAR INF.GOIABA ;15X200ML
631;V.FERTIL-AZEITONA VERDE FATIADA ;VD 180GR
